video_id,video_contains_music,video_contains_male,video_contains_female,video_contains_noise,video_contains_no_energy,segments
6893213082131238150,True,False,False,True,True,"[{'label': 'music', 'start': 0.0, 'end': 10.44}, {'label': 'noise', 'start': 10.44, 'end': 14.08}, {'label': 'music', 'start': 14.08, 'end': 40.46}, {'label': 'noEnergy', 'start': 40.46, 'end': 41.4}]"
6904256502270315781,True,True,True,True,True,"[{'label': 'female', 'start': 0.0, 'end': 0.24}, {'label': 'noEnergy', 'start': 0.24, 'end': 0.64}, {'label': 'noise', 'start': 0.64, 'end': 5.26}, {'label': 'noEnergy', 'start': 5.26, 'end': 5.8}, {'label': 'noise', 'start': 5.8, 'end': 8.5}, {'label': 'music', 'start': 8.5, 'end': 18.2}, {'label': 'male', 'start': 18.2, 'end': 24.54}, {'label': 'female', 'start': 24.54, 'end': 38.660000000000004}, {'label': 'music', 'start': 38.660000000000004, 'end': 52.5}, {'label': 'female', 'start': 52.5, 'end': 59.06}]"
6890248829766012166,False,True,False,False,False,"[{'label': 'male', 'start': 0.0, 'end': 28.98}]"
6876841174863334662,True,True,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 4.7}, {'label': 'male', 'start': 4.7, 'end': 6.42}, {'label': 'music', 'start': 6.42, 'end': 18.900000000000002}]"
6885915066810518789,False,False,True,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.34}, {'label': 'female', 'start': 0.34, 'end': 4.98}, {'label': 'noEnergy', 'start': 4.98, 'end': 5.9}, {'label': 'female', 'start': 5.9, 'end': 12.02}, {'label': 'noEnergy', 'start': 12.02, 'end': 12.66}, {'label': 'female', 'start': 12.66, 'end': 17.42}, {'label': 'noEnergy', 'start': 17.42, 'end': 18.34}, {'label': 'female', 'start': 18.34, 'end': 24.86}, {'label': 'noEnergy', 'start': 24.86, 'end': 26.02}, {'label': 'female', 'start': 26.02, 'end': 28.3}, {'label': 'noEnergy', 'start': 28.3, 'end': 28.900000000000002}, {'label': 'female', 'start': 28.900000000000002, 'end': 30.34}, {'label': 'noEnergy', 'start': 30.34, 'end': 32.980000000000004}]"
6870590381558385925,False,True,True,True,False,"[{'label': 'noise', 'start': 0.0, 'end': 1.68}, {'label': 'male', 'start': 1.68, 'end': 16.5}, {'label': 'female', 'start': 16.5, 'end': 24.38}]"
6894341527045213445,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 28.7}, {'label': 'noEnergy', 'start': 28.7, 'end': 29.080000000000002}]"
6891823156907101445,True,False,True,False,True,"[{'label': 'music', 'start': 0.0, 'end': 5.82}, {'label': 'female', 'start': 5.82, 'end': 7.1000000000000005}, {'label': 'noEnergy', 'start': 7.1000000000000005, 'end': 8.44}, {'label': 'music', 'start': 8.44, 'end': 18.28}]"
6889936703138712838,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 8.120000000000001}]"
6882114438506302726,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 9.08}]"
6891095447717301510,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 8.58}, {'label': 'noEnergy', 'start': 8.58, 'end': 8.8}]"
6891860808167410950,False,True,True,False,True,"[{'label': 'male', 'start': 0.0, 'end': 1.02}, {'label': 'female', 'start': 1.02, 'end': 7.8}, {'label': 'noEnergy', 'start': 7.8, 'end': 8.68}, {'label': 'female', 'start': 8.68, 'end': 16.48}, {'label': 'noEnergy', 'start': 16.48, 'end': 17.92}, {'label': 'female', 'start': 17.92, 'end': 21.1}, {'label': 'noEnergy', 'start': 21.1, 'end': 22.06}, {'label': 'female', 'start': 22.06, 'end': 24.82}, {'label': 'male', 'start': 24.82, 'end': 28.44}, {'label': 'female', 'start': 28.44, 'end': 58.980000000000004}]"
6891625792485346565,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 12.48}]"
6892271062919286018,True,False,True,False,False,"[{'label': 'music', 'start': 0.0, 'end': 6.32}, {'label': 'female', 'start': 6.32, 'end': 16.4}]"
6883551124494814469,False,True,False,True,False,"[{'label': 'noise', 'start': 0.0, 'end': 1.32}, {'label': 'male', 'start': 1.32, 'end': 10.14}, {'label': 'noise', 'start': 10.14, 'end': 18.0}]"
6892143177491352838,False,True,False,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.4}, {'label': 'male', 'start': 0.4, 'end': 10.0}]"
6879994571397336325,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 32.96}]"
6869522162890444037,False,False,True,False,True,"[{'label': 'female', 'start': 0.0, 'end': 10.46}, {'label': 'noEnergy', 'start': 10.46, 'end': 10.88}, {'label': 'female', 'start': 10.88, 'end': 12.8}]"
6869829045752810758,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 32.96}]"
6887008734497803526,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 10.1}]"
6860914703942569222,False,True,True,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.4}, {'label': 'female', 'start': 0.4, 'end': 7.24}, {'label': 'noEnergy', 'start': 7.24, 'end': 8.08}, {'label': 'female', 'start': 8.08, 'end': 9.96}, {'label': 'noEnergy', 'start': 9.96, 'end': 10.58}, {'label': 'male', 'start': 10.58, 'end': 11.72}, {'label': 'female', 'start': 11.72, 'end': 15.34}, {'label': 'noEnergy', 'start': 15.34, 'end': 16.1}, {'label': 'female', 'start': 16.1, 'end': 20.34}, {'label': 'male', 'start': 20.34, 'end': 22.3}, {'label': 'female', 'start': 22.3, 'end': 27.18}, {'label': 'noEnergy', 'start': 27.18, 'end': 27.66}, {'label': 'female', 'start': 27.66, 'end': 30.7}, {'label': 'male', 'start': 30.7, 'end': 39.24}, {'label': 'female', 'start': 39.24, 'end': 43.28}, {'label': 'noEnergy', 'start': 43.28, 'end': 44.18}, {'label': 'female', 'start': 44.18, 'end': 49.800000000000004}, {'label': 'noEnergy', 'start': 49.800000000000004, 'end': 50.22}, {'label': 'female', 'start': 50.22, 'end': 59.06}]"
6891396103963413766,True,False,False,True,False,"[{'label': 'noise', 'start': 0.0, 'end': 7.28}, {'label': 'music', 'start': 7.28, 'end': 13.040000000000001}, {'label': 'noise', 'start': 13.040000000000001, 'end': 18.080000000000002}, {'label': 'music', 'start': 18.080000000000002, 'end': 23.080000000000002}, {'label': 'noise', 'start': 23.080000000000002, 'end': 47.4}]"
6891051620038184197,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 10.0}, {'label': 'noEnergy', 'start': 10.0, 'end': 10.74}]"
6895132001108610309,False,False,True,False,False,"[{'label': 'female', 'start': 0.0, 'end': 58.980000000000004}]"
6891459493087988997,True,True,True,True,True,"[{'label': 'male', 'start': 0.0, 'end': 10.26}, {'label': 'noise', 'start': 10.26, 'end': 13.02}, {'label': 'noEnergy', 'start': 13.02, 'end': 13.64}, {'label': 'noise', 'start': 13.64, 'end': 16.2}, {'label': 'music', 'start': 16.2, 'end': 22.22}, {'label': 'noEnergy', 'start': 22.22, 'end': 22.94}, {'label': 'noise', 'start': 22.94, 'end': 27.54}, {'label': 'noEnergy', 'start': 27.54, 'end': 28.2}, {'label': 'noise', 'start': 28.2, 'end': 28.82}, {'label': 'noEnergy', 'start': 28.82, 'end': 30.240000000000002}, {'label': 'female', 'start': 30.240000000000002, 'end': 31.0}]"
6892471419238731013,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 10.22}]"
6894964781652970758,False,False,True,False,True,"[{'label': 'female', 'start': 0.0, 'end': 55.68}, {'label': 'noEnergy', 'start': 55.68, 'end': 56.68}]"
6892438926267649285,False,True,True,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.44}, {'label': 'female', 'start': 0.44, 'end': 25.3}, {'label': 'male', 'start': 25.3, 'end': 26.240000000000002}, {'label': 'noEnergy', 'start': 26.240000000000002, 'end': 27.080000000000002}, {'label': 'female', 'start': 27.080000000000002, 'end': 32.96}, {'label': 'noEnergy', 'start': 32.96, 'end': 33.8}, {'label': 'female', 'start': 33.8, 'end': 35.58}]"
6890643577555160325,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 3.44}, {'label': 'noEnergy', 'start': 3.44, 'end': 3.84}, {'label': 'music', 'start': 3.84, 'end': 8.76}]"
6892043880309460229,False,True,True,True,True,"[{'label': 'noise', 'start': 0.0, 'end': 1.5}, {'label': 'female', 'start': 1.5, 'end': 3.0}, {'label': 'noEnergy', 'start': 3.0, 'end': 3.54}, {'label': 'female', 'start': 3.54, 'end': 10.22}, {'label': 'noEnergy', 'start': 10.22, 'end': 11.32}, {'label': 'female', 'start': 11.32, 'end': 19.38}, {'label': 'noEnergy', 'start': 19.38, 'end': 20.82}, {'label': 'male', 'start': 20.82, 'end': 25.36}, {'label': 'noEnergy', 'start': 25.36, 'end': 26.26}, {'label': 'male', 'start': 26.26, 'end': 27.36}, {'label': 'female', 'start': 27.36, 'end': 32.96}, {'label': 'noEnergy', 'start': 32.96, 'end': 34.800000000000004}, {'label': 'female', 'start': 34.800000000000004, 'end': 35.42}, {'label': 'noEnergy', 'start': 35.42, 'end': 36.06}, {'label': 'female', 'start': 36.06, 'end': 39.22}, {'label': 'noEnergy', 'start': 39.22, 'end': 40.160000000000004}, {'label': 'female', 'start': 40.160000000000004, 'end': 40.54}, {'label': 'noEnergy', 'start': 40.54, 'end': 41.84}, {'label': 'female', 'start': 41.84, 'end': 42.6}, {'label': 'noEnergy', 'start': 42.6, 'end': 43.46}, {'label': 'female', 'start': 43.46, 'end': 46.64}, {'label': 'noEnergy', 'start': 46.64, 'end': 47.1}, {'label': 'female', 'start': 47.1, 'end': 51.08}, {'label': 'noEnergy', 'start': 51.08, 'end': 51.800000000000004}, {'label': 'female', 'start': 51.800000000000004, 'end': 53.7}]"
6885090820177874182,False,True,True,False,False,"[{'label': 'female', 'start': 0.0, 'end': 13.88}, {'label': 'male', 'start': 13.88, 'end': 15.0}, {'label': 'female', 'start': 15.0, 'end': 17.8}, {'label': 'male', 'start': 17.8, 'end': 19.12}, {'label': 'female', 'start': 19.12, 'end': 28.66}, {'label': 'male', 'start': 28.66, 'end': 30.04}, {'label': 'female', 'start': 30.04, 'end': 37.46}, {'label': 'male', 'start': 37.46, 'end': 38.46}, {'label': 'female', 'start': 38.46, 'end': 48.68}]"
6878054022448827653,False,True,True,True,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.22}, {'label': 'female', 'start': 0.22, 'end': 6.44}, {'label': 'noEnergy', 'start': 6.44, 'end': 7.1000000000000005}, {'label': 'noise', 'start': 7.1000000000000005, 'end': 7.78}, {'label': 'noEnergy', 'start': 7.78, 'end': 8.94}, {'label': 'female', 'start': 8.94, 'end': 22.32}, {'label': 'noEnergy', 'start': 22.32, 'end': 23.04}, {'label': 'female', 'start': 23.04, 'end': 25.48}, {'label': 'noEnergy', 'start': 25.48, 'end': 25.88}, {'label': 'female', 'start': 25.88, 'end': 30.0}, {'label': 'noEnergy', 'start': 30.0, 'end': 30.76}, {'label': 'female', 'start': 30.76, 'end': 31.580000000000002}, {'label': 'noEnergy', 'start': 31.580000000000002, 'end': 32.84}, {'label': 'female', 'start': 32.84, 'end': 36.06}, {'label': 'male', 'start': 36.06, 'end': 51.9}, {'label': 'female', 'start': 51.9, 'end': 59.04}]"
6885485630403448070,False,True,False,False,False,"[{'label': 'male', 'start': 0.0, 'end': 49.72}]"
6841327650779254021,True,True,True,False,False,"[{'label': 'male', 'start': 0.0, 'end': 9.4}, {'label': 'female', 'start': 9.4, 'end': 12.58}, {'label': 'male', 'start': 12.58, 'end': 18.740000000000002}, {'label': 'female', 'start': 18.740000000000002, 'end': 23.44}, {'label': 'male', 'start': 23.44, 'end': 24.36}, {'label': 'music', 'start': 24.36, 'end': 26.92}, {'label': 'male', 'start': 26.92, 'end': 31.6}, {'label': 'female', 'start': 31.6, 'end': 34.78}, {'label': 'male', 'start': 34.78, 'end': 37.14}]"
6885845335579626757,True,False,True,True,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.28}, {'label': 'music', 'start': 0.28, 'end': 2.58}, {'label': 'noEnergy', 'start': 2.58, 'end': 3.12}, {'label': 'female', 'start': 3.12, 'end': 9.1}, {'label': 'noise', 'start': 9.1, 'end': 10.84}, {'label': 'female', 'start': 10.84, 'end': 13.1}]"
6891029434091064582,False,False,True,True,True,"[{'label': 'noise', 'start': 0.0, 'end': 1.2}, {'label': 'female', 'start': 1.2, 'end': 2.52}, {'label': 'noEnergy', 'start': 2.52, 'end': 2.94}, {'label': 'noise', 'start': 2.94, 'end': 5.24}, {'label': 'noEnergy', 'start': 5.24, 'end': 5.62}, {'label': 'female', 'start': 5.62, 'end': 7.68}, {'label': 'noEnergy', 'start': 7.68, 'end': 8.34}]"
6907015370356378885,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 14.9}]"
6886477928071318789,True,True,False,True,False,"[{'label': 'noise', 'start': 0.0, 'end': 2.2600000000000002}, {'label': 'male', 'start': 2.2600000000000002, 'end': 9.72}, {'label': 'music', 'start': 9.72, 'end': 16.12}, {'label': 'noise', 'start': 16.12, 'end': 27.44}]"
6875055244355620101,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 3.22}, {'label': 'noEnergy', 'start': 3.22, 'end': 3.68}, {'label': 'music', 'start': 3.68, 'end': 11.08}]"
6908132755188632837,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 11.84}]"
6892033111182331137,True,False,True,False,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.34}, {'label': 'female', 'start': 0.34, 'end': 42.6}, {'label': 'music', 'start': 42.6, 'end': 44.96}, {'label': 'noEnergy', 'start': 44.96, 'end': 45.36}]"
6880950367127997702,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 56.74}]"
6892881361766468870,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 10.08}]"
