video_id,label,start,end
6892438926267649285,male,25.3,26.240000000000002
6892438926267649285,noEnergy,26.240000000000002,27.080000000000002
6892438926267649285,female,27.080000000000002,32.96
6892438926267649285,noEnergy,32.96,33.8
6892438926267649285,female,33.8,35.58
6890643577555160325,music,0.0,3.44
6890643577555160325,noEnergy,3.44,3.84
6890643577555160325,music,3.84,8.76
6892043880309460229,noise,0.0,1.5
6892043880309460229,female,1.5,3.0
6892043880309460229,noEnergy,3.0,3.54
6892043880309460229,female,3.54,10.22
6892043880309460229,noEnergy,10.22,11.32
6892043880309460229,female,11.32,19.38
6892043880309460229,noEnergy,19.38,20.82
6892043880309460229,male,20.82,25.36
6892043880309460229,noEnergy,25.36,26.26
6892043880309460229,male,26.26,27.36
6892043880309460229,female,27.36,32.96
6892043880309460229,noEnergy,32.96,34.800000000000004
6892043880309460229,female,34.800000000000004,35.42
6892043880309460229,noEnergy,35.42,36.06
6892043880309460229,female,36.06,39.22
6892043880309460229,noEnergy,39.22,40.160000000000004
6892043880309460229,female,40.160000000000004,40.54
6892043880309460229,noEnergy,40.54,41.84
6892043880309460229,female,41.84,42.6
6892043880309460229,noEnergy,42.6,43.46
6892043880309460229,female,43.46,46.64
6892043880309460229,noEnergy,46.64,47.1
6892043880309460229,female,47.1,51.08
6892043880309460229,noEnergy,51.08,51.800000000000004
6892043880309460229,female,51.800000000000004,53.7
6885090820177874182,female,0.0,13.88
6885090820177874182,male,13.88,15.0
6885090820177874182,female,15.0,17.8
6885090820177874182,male,17.8,19.12
6885090820177874182,female,19.12,28.66
6885090820177874182,male,28.66,30.04
6885090820177874182,female,30.04,37.46
6885090820177874182,male,37.46,38.46
6885090820177874182,female,38.46,48.68
6878054022448827653,noEnergy,0.0,0.22
6878054022448827653,female,0.22,6.44
6878054022448827653,noEnergy,6.44,7.1000000000000005
6878054022448827653,noise,7.1000000000000005,7.78
6878054022448827653,noEnergy,7.78,8.94
6878054022448827653,female,8.94,22.32
6878054022448827653,noEnergy,22.32,23.04
6878054022448827653,female,23.04,25.48
6878054022448827653,noEnergy,25.48,25.88
6878054022448827653,female,25.88,30.0
6878054022448827653,noEnergy,30.0,30.76
6878054022448827653,female,30.76,31.580000000000002
6878054022448827653,noEnergy,31.580000000000002,32.84
6878054022448827653,female,32.84,36.06
6878054022448827653,male,36.06,51.9
6878054022448827653,female,51.9,59.04
6885485630403448070,male,0.0,49.72
6841327650779254021,male,0.0,9.4
6841327650779254021,female,9.4,12.58
6841327650779254021,male,12.58,18.740000000000002
6841327650779254021,female,18.740000000000002,23.44
6841327650779254021,male,23.44,24.36
6841327650779254021,music,24.36,26.92
6841327650779254021,male,26.92,31.6
6841327650779254021,female,31.6,34.78
6841327650779254021,male,34.78,37.14
6885845335579626757,noEnergy,0.0,0.28
6885845335579626757,music,0.28,2.58
6885845335579626757,noEnergy,2.58,3.12
6885845335579626757,female,3.12,9.1
6885845335579626757,noise,9.1,10.84
6885845335579626757,female,10.84,13.1
6891029434091064582,noise,0.0,1.2
6891029434091064582,female,1.2,2.52
6891029434091064582,noEnergy,2.52,2.94
6891029434091064582,noise,2.94,5.24
6891029434091064582,noEnergy,5.24,5.62
6891029434091064582,female,5.62,7.68
6891029434091064582,noEnergy,7.68,8.34
6907015370356378885,music,0.0,14.9
6886477928071318789,noise,0.0,2.2600000000000002
6886477928071318789,male,2.2600000000000002,9.72
6886477928071318789,music,9.72,16.12
6886477928071318789,noise,16.12,27.44
6875055244355620101,music,0.0,3.22
6875055244355620101,noEnergy,3.22,3.68
6875055244355620101,music,3.68,11.08
6908132755188632837,music,0.0,11.84
6892033111182331137,noEnergy,0.0,0.34
6892033111182331137,female,0.34,42.6
6892033111182331137,music,42.6,44.96
6892033111182331137,noEnergy,44.96,45.36
6880950367127997702,music,0.0,56.74
6892881361766468870,music,0.0,10.08
6886807976439483654,music,0.0,4.54
6886807976439483654,male,4.54,8.120000000000001
6886807976439483654,music,8.120000000000001,13.72
6886807976439483654,male,13.72,20.48
6886807976439483654,noEnergy,20.48,22.02
6886807976439483654,male,22.02,23.46
6886807976439483654,female,23.46,24.72
6886807976439483654,music,24.72,28.560000000000002
6886807976439483654,male,28.560000000000002,33.660000000000004
6886807976439483654,music,33.660000000000004,37.44
6886807976439483654,male,37.44,41.46
6886807976439483654,female,41.46,44.28
6886807976439483654,male,44.28,46.160000000000004
6887639465590869253,female,0.0,37.660000000000004
6887639465590869253,music,37.660000000000004,42.160000000000004
6887639465590869253,female,42.160000000000004,44.2
6891118360021470470,female,0.0,3.2600000000000002
6891118360021470470,noEnergy,3.2600000000000002,3.74
6891118360021470470,female,3.74,6.22
6891118360021470470,noEnergy,6.22,6.86
6891118360021470470,female,6.86,9.08
6891118360021470470,noEnergy,9.08,9.48
6891118360021470470,female,9.48,19.86
6891118360021470470,noise,19.86,24.900000000000002
6891118360021470470,noEnergy,24.900000000000002,25.72
6891118360021470470,female,25.72,28.14
